author,text,published_at,likes
@andybroadfield350,Would be been better with Josh winks higher state,2025-11-04T20:42:22Z,0
@bradbartlett2663,No there’s just something in my eye!,2025-11-04T20:41:25Z,0
@Annika-f8z,This is a work of art. ❤,2025-11-04T20:38:41Z,0
@fransdozy8877,Not a father myself but have many nephew's and new friends (from my nieces),2025-11-04T20:30:34Z,0
@adambradley2571,Brilliant advert - the father - son connection and the club throwback,2025-11-04T20:27:35Z,3
@MalcoDude,Best Xmas advert in as long as I can remember!!! Thank you JL,2025-11-04T20:18:53Z,1
@OliviaMoore-g2z4i,"Soggy, sentimental piffle. As usual.",2025-11-04T20:11:45Z,1
@karenunsworth7973,"Omg let's just have some jingle bells, all year round it's a point about this don't say this don't say that and now christmas just some red tinsel will do.",2025-11-04T20:08:03Z,0
@TheRayne77,Masterpiece in every way!,2025-11-04T20:02:29Z,0
@Antbcfc64,WOW ❤Well done John Lewis the best ad going ❤🎉,2025-11-04T19:59:59Z,0
@HouseClarkzonian,"Guardian, Didn't you call this advert outdated?? Yet you can still buy Vinyl. I'm sure we know what you meant. The actual representation of a White British Family",2025-11-04T19:58:30Z,0
@pgm1972,very poor effort. where is the emotion ?,2025-11-04T19:56:58Z,0
@MarcoArt-wy6hq,"Bring back the animals/ fantasy  
Christmas advents! ☹️",2025-11-04T19:51:50Z,4
@SP-1414,Aftersun?,2025-11-04T19:44:16Z,0
@adygills5658,"Absolutely nailed it John Lewis! brought tears to my eyes, Ive no doubt there will be a few fathers feeling the same. I normally detest cheesey christmas ads but this was anything but. Ful marks.",2025-11-04T19:37:36Z,0
@user-bc3lo5yc4r,Oh wow.. emotional. Well done JL.,2025-11-04T19:36:12Z,0
@jasonclark1556,Nailed it this year just wonderful,2025-11-04T19:35:39Z,0
@natashafranklin1646,"Nice a white family 
And a dad on the scene 
A married couple 
And a happy family 
And the power of music 
🎉❤🎉❤🎉❤",2025-11-04T19:31:38Z,2
@mattbee4091,YES!!!!!!! FANTASTIC!!!!!!!!! Incredible job 🙌,2025-11-04T19:19:19Z,0
@ChrisWard-dy1lz,"Rubbish advert as always, I think John Lewis needs to learn that a Christmas advert needs to be festive",2025-11-04T19:16:33Z,2
@jayyoudeeee9096,WHITE FAMILY ON AN ADVERT??? WE ARE SO BACK,2025-11-04T19:16:12Z,13
@stephmmcbride9197,Anybody who was a teenager in 90's will absolutely love that song the way it took the dad back is exactly what the song does to me every time  I hear it.   It really struck a nerve with me and will with anybody in my age group 40+. Lovely advert. Best one I've seen in a long time,2025-11-04T19:12:44Z,31
@glenr4026,"I would of been better if you saw him on the dance floor and it showed him meeting his future wife etc,",2025-11-04T19:12:23Z,0
@JOEFINNOVIII,Amazing advert 🎉🎉🎉,2025-11-04T19:11:08Z,0
@stevencooper8298,Thank you JL,2025-11-04T19:07:22Z,0
@claudiasmith5022,And they nailed it - again!,2025-11-04T19:06:24Z,0
@sandradring6265,What a wonderful Xmas video…it made me cry. Well done John Lewis very special.🌟🌟,2025-11-04T19:05:30Z,0
@93raver09,"Well done John Lewis, stepped out of the box to dare to produce something different. Some won't like it! Some will love it. Too many kids don't have a father figure in there lives. Some are lucky enough to have cool ones who like rave music. 
The tabloids probably won't like they tried to shut the music down all those years ago ""evil drug pushing music"" well F**k you now it's a part of Christmas. 🎉",2025-11-04T18:51:26Z,1
@SteeeV-q8t,"Why was Santa banned from Myanmar?
Because Santa ate Mymin spies.",2025-11-04T18:49:00Z,0
@glamourous1980,Omg this is just the perfect advert ❤ 😢,2025-11-04T18:48:23Z,0
@lindagoodswin9519,It is a nice ad but not very christmas like,2025-11-04T18:40:35Z,0
@markjordan750,OMG that was insane!!!!!!!!!!!! 'Where Love Lives' was MY JAM in the 90s! I went directly back to the club!!!!!!!!!!!!!!!!!!!! It so has to chart again!,2025-11-04T18:38:29Z,0
@TeamBobRat,"Well, the creators have seen aftersun. Masterfully done though",2025-11-04T18:38:22Z,0
@clairehoare8764,This was just what we all needed 🎉,2025-11-04T18:35:54Z,0
@stevevendy5753,Glad I don't buy the guardian,2025-11-04T18:31:32Z,0
@lb1116,"Also a hot Dad, thanks John Lewis for some eye candy (sorry I had to lighten the mood) ❤️😅🎄🥹",2025-11-04T18:25:46Z,0
@anthonykempton1414,This advert was written for me -,2025-11-04T18:22:12Z,1
@DenisTynan,The worst Christian ad ever...best one was the fire breathing dragon a few years ago,2025-11-04T18:21:40Z,0
@NickWard-f6l,Gen x unite ...we had the best years ...Banging tune .,2025-11-04T18:19:26Z,0
@mrdee3561,"As a once single Dad who brought up two sons, I totally get this. A family rift means that I don't see my first born, 40 year old son much. Communication is definitely  the key.",2025-11-04T18:16:46Z,7
@jacob-e8c,BRILLIANT! Got me again! 🥹👌😍,2025-11-04T18:04:16Z,3
@WDH59510,"As the father of a teenage boy, this ad speaks to me. Well played John Lewis.",2025-11-04T17:55:10Z,4
@leslieleatham4601,Awesome,2025-11-04T17:51:19Z,2
@straightouttacornwall,Old skool was the best school,2025-11-04T17:47:14Z,2
@SometimesYouJustGottaSayIt,this hits hard,2025-11-04T17:44:42Z,1
@Ab-w2b,Love this!,2025-11-04T17:39:09Z,1
@daveGraham86,Wow 🥲,2025-11-04T17:37:22Z,1
@TheGamingPile,I just don't understand what the advert is about?,2025-11-04T17:35:34Z,1
