author,text,published_at,likes,clean_text
@resellingriptide,Tosh.,2025-11-05 21:22:10+00:00,0,tosh.
@michellehubbard3528,"Best advert yet, captured something deep and special 💚",2025-11-05 21:11:18+00:00,0,"best advert yet, captured something deep and special"
@matthewroberts3253,"‘Merry Christmas dad, there’s a couple of Mitsubishis in there too, and an 1/8th to take the edge off the comedown. Love you x’",2025-11-05 21:04:16+00:00,593,"‘merry christmas dad, there’s a couple of mitsubishis in there too, and an 1/8th to take the edge off the comedown. love you x’"
@PeopleAdverts,"The record made him long for his single life, sadly he left and never came back. Cautionary tale really",2025-11-05 20:52:02+00:00,0,"the record made him long for his single life, sadly he left and never came back. cautionary tale really"
@dylanhastoast,"made me shed a tear, john lewis always leads the start of christmas with these ❤",2025-11-05 20:32:44+00:00,0,"made me shed a tear, john lewis always leads the start of christmas with these"
@Leehuss5582,47yro Man with a 18yr 7yr Princesses and can understand the Dads feelings about reminiscing about our time then and now their time now,2025-11-05 20:20:56+00:00,0,47yro man with a 18yr 7yr princesses and can understand the dads feelings about reminiscing about our time then and now their time now
@deportallanglosaxons,"Income tax is a devolved issue in Scotland,  she can't put up Scottish taxes. GIRFUY England🎉🎉😂😂😂",2025-11-05 20:19:17+00:00,0,"income tax is a devolved issue in scotland, she can't put up scottish taxes. girfuy england"
@BillyLenz8899,Reminds me of Harry Chapin Cats In The Cradle 😢😢😢.,2025-11-05 20:17:08+00:00,0,reminds me of harry chapin cats in the cradle .
@Om3ga_Man,"I am 45 so just missed that era of early 90's clubbing, but having 9 year old twin boys, this hit me right in the feels. Well done JL.",2025-11-05 20:10:44+00:00,0,"i am 45 so just missed that era of early 90's clubbing, but having 9 year old twin boys, this hit me right in the feels. well done jl."
@Faraday11,"Sooo beautiful, big up dads!",2025-11-05 20:07:14+00:00,0,"sooo beautiful, big up dads!"
@Nezzer57,"Flipping brilliant.
Best ad they've done.
Well done JLP 👍👏👏",2025-11-05 20:04:08+00:00,0,flipping brilliant. best ad they've done. well done jlp
@beyondthevanishing,"Brilliant, will definitely shop there this year for Christmas. Great ad.",2025-11-05 20:03:28+00:00,0,"brilliant, will definitely shop there this year for christmas. great ad."
@kellystephens5185,"Reminds me of the 2010 one which was also beautiful and about family, more meaningful ♥️",2025-11-05 20:00:37+00:00,1,"reminds me of the 2010 one which was also beautiful and about family, more meaningful"
@fatherdeath_4206,Amazing to finally see Dads represented in a positive light in the media!! Well done John Lewis!,2025-11-05 19:52:46+00:00,382,amazing to finally see dads represented in a positive light in the media!! well done john lewis!
